PID,age,gender,education,socialMediaUsage,socialMediaAcceptance,hasLicence,hasCarAccess,rideShareUsage,pedCycleFreq,rank_car,rank_ev,rank_bus,rank_motorbike,rank_lgv,rank_hgv,rank_none,tlGripe,mapUsage,mapHelp,position,speed,signals,passengers,totalStops,stopTime,duration,distance,emissionClass,vehicleType,speedFactor,UTMAcceptance,deliveryMode,busPriority,emergencyPriority,sharedPriority,evPriority,tradePriority
3490322,25-39,Female,BACHELORS,DAILY,6,NO,NO,WEEKLY_ONCE,WEEKLY_MULTI,1,-1,2,-1,-1,-1,-1,STARTSTOP,MONTHLY,YES,5,3,2,1,3,4,4,4,3,5,2,7,APP,NO,NO,NO,NO,NO
3491186,18-24,Female,BACHELORS,DAILY,6,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,-1,-1,-1,-1,-1,-1,1,WAITING,WEEKLY_ONCE,YES,4,4,4,4,3,5,4,5,4,4,5,6,APP,YES,YES,YES,NO,YES
3491249,25-39,Female,DOCTORATE,DAILY,4,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,2,-1,-1,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,4,4,2,5,5,5,5,1,4,1,8,BUILTIN,YES,YES,YES,NA,NA
3491273,25-39,Male,DOCTORATE,DAILY,1,YES,NO,WEEKLY_MULTI,WEEKLY_MULTI,-1,-1,1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,1,2,3,2,1,3,3,3,5,5,2,1,NOSHARE,YES,YES,YES,YES,NO
3491276,25-39,Male,BACHELORS,DAILY,3,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,1,2,3,5,7,6,-1,WAITING,WEEKLY_MULTI,NO,2,2,4,2,3,2,4,2,2,4,2,7,APP,YES,YES,NO,NO,NO
3491339,25-39,Female,MASTERS,DAILY,2,YES,YES,RARELY,MONTHLY,2,1,-1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,4,4,5,5,4,5,5,5,4,5,1,7,BUILTIN,NO,YES,NO,YES,NO
3491827,40-59,Female,MASTERS,DAILY,4,YES,NO,WEEKLY_MULTI,RARELY,-1,-1,1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,5,5,5,3,5,5,5,5,5,5,3,9,THIRDPARTY,YES,YES,YES,YES,NO
3491845,25-39,Male,BACHELORS,WEEKLY_MULTI,6,NO,NO,WEEKLY_MULTI,WEEKLY_MULTI,-1,1,2,-1,-1,-1,-1,STARTSTOP,WEEKLY_ONCE,NA,3,3,4,2,4,3,4,4,2,2,4,-1,NOSHARE,NA,NO,NO,YES,YES
3491899,60+,Female,BACHELORS,DAILY,3,YES,YES,WEEKLY_MULTI,RARELY,1,-1,2,-1,-1,-1,-1,NA,WEEKLY_MULTI,YES,4,4,3,1,1,1,4,4,4,4,1,5,BUILTIN,YES,YES,NO,NO,NO
3492073,40-59,Male,BACHELORS,MONTHLY,3,YES,YES,WEEKLY_ONCE,RARELY,1,-1,-1,-1,-1,-1,-1,NA,MONTHLY,NO,1,1,1,1,1,1,1,1,3,3,1,2,NOSHARE,YES,YES,NO,NO,NO
3492245,60+,Male,BACHELORS,WEEKLY_ONCE,1,YES,YES,WEEKLY_MULTI,RARELY,-1,1,2,-1,-1,-1,-1,WAITING,RARELY,NO,5,3,5,5,5,5,5,5,5,5,5,8,BUILTIN,YES,YES,NO,NO,NO
3492450,25-39,Female,MASTERS,DAILY,3,YES,NO,WEEKLY_ONCE,MONTHLY,-1,-1,-1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,2,2,2,1,1,1,1,2,,1,1,3,BUILTIN,YES,YES,YES,YES,YES
3492529,40-59,Female,MASTERS,WEEKLY_MULTI,7,YES,YES,MONTHLY,MONTHLY,1,-1,-1,-1,-1,-1,-1,NA,WEEKLY_MULTI,YES,5,4,1,1,5,5,5,5,3,1,3,8,THIRDPARTY,YES,YES,NO,YES,NO
3492630,25-39,Female,MASTERS,DAILY,8,YES,YES,RARELY,RARELY,2,-1,1,-1,-1,-1,-1,SUDDENRED,WEEKLY_MULTI,YES,4,2,2,5,5,5,5,5,5,5,2,7,THIRDPARTY,NO,YES,NO,NO,NO
3493080,25-39,Female,BACHELORS,WEEKLY_MULTI,6,NO,NO,RARELY,RARELY,-1,-1,1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,3,2,2,1,2,2,3,2,2,1,2,5,APP,NO,YES,NA,NA,NA
3493243,25-39,Male,BACHELORS,MONTHLY,3,YES,YES,WEEKLY_ONCE,WEEKLY_ONCE,2,-1,1,-1,-1,-1,-1,STARTSTOP,WEEKLY_ONCE,YES,3,5,5,3,5,5,5,5,5,5,5,8,BUILTIN,YES,YES,NO,NO,YES
3493505,40-59,Male,HIGHSCHOOL,DAILY,7,YES,YES,RARELY,RARELY,1,-1,-1,2,-1,-1,-1,WAITING,MONTHLY,YES,5,5,5,5,5,5,5,5,5,5,5,10,BUILTIN,NO,YES,NO,NO,NO
3493566,25-39,Male,DIPLOMA,DAILY,6,NO,NO,MONTHLY,WEEKLY_MULTI,1,-1,-1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,1,4,4,4,4,4,4,4,4,4,4,6,APP,YES,YES,YES,NO,NO
3494093,25-39,Male,BACHELORS,DAILY,9,YES,YES,WEEKLY_MULTI,RARELY,3,1,2,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,5,5,5,5,5,5,5,5,5,1,9,APP,YES,YES,NO,NO,NO
